State_Code,State_Abv,Offense_Type,Total_Offenses
56,WY,Burglary/ Breaking & Entering,1056
56,WY,Counterfeiting/ Forgery,174
56,WY,Destruction/ Damage/ Vandalism ,2577
56,WY,Embezzlement,9
56,WY,Extortion/ Blackmail,60
56,WY,Fraud Offenses,896
56,WY,Larceny/ Theft Offenses,5005
56,WY,Motor Vehicle Theft,851
56,WY,Robbery,47
56,WY,Stolen Property Offenses,22
